"Points:0","Points:1","Points:2","T","T.liquid","T.vapor","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.vapor","alphas","dgdt.liquid","dgdt.vapor","p","p_rgh","rho"
0.5,0.0649974,0,299.587,299.587,299.587,-0.00724798,0.000239123,0,1,1,8.63218e-31,8.63218e-31,0,1.1922e-05,101325,101325,1
0.5,0.066664,0.005,299.597,299.597,299.597,-0.00872671,0.000227434,0,1,1,5.8721e-28,5.8721e-28,0,1.6388e-05,101325,101325,1
0.5,0.066664,0,299.597,299.597,299.597,-0.00872671,0.000227434,0,1,1,5.8721e-28,5.8721e-28,0,1.6388e-05,101325,101325,1
0.5,0.0683306,0.005,299.607,299.607,299.607,-0.010267,0.000213659,0,1,1,1.97467e-25,1.97467e-25,0,2.1127e-05,101325,101325,1
0.5,0.0683306,0,299.607,299.607,299.607,-0.010267,0.000213659,0,1,1,1.97467e-25,1.97467e-25,0,2.1127e-05,101325,101325,1
0.5,0.0699972,0.005,299.616,299.616,299.616,-0.0118687,0.000197721,0,1,1,3.94693e-23,3.94693e-23,0,2.61224e-05,101325,101325,1
0.5,0.0699972,0,299.616,299.616,299.616,-0.0118687,0.000197721,0,1,1,3.94693e-23,3.94693e-23,0,2.61224e-05,101325,101325,1
0.5,0.0716638,0.005,299.625,299.625,299.625,-0.0135312,0.000179548,0,1,1,5.10863e-21,5.10863e-21,0,3.1356e-05,101325,101325,1
0.5,0.0716638,0,299.625,299.625,299.625,-0.0135312,0.000179548,0,1,1,5.10863e-21,5.10863e-21,0,3.1356e-05,101325,101325,1
0.5,0.0733304,0.005,299.632,299.632,299.632,-0.0152546,0.00015907,0,1,1,3.87849e-19,3.87849e-19,0,3.68011e-05,101325,101325,1
0.5,0.0733304,0,299.632,299.632,299.632,-0.0152546,0.00015907,0,1,1,3.87849e-19,3.87849e-19,0,3.68011e-05,101325,101325,1
0.5,0.074997,0.005,299.639,299.639,299.639,-0.0170383,0.000136222,0,1,1,2.20976e-17,2.20976e-17,0,4.24314e-05,101325,101325,1
0.5,0.074997,0,299.639,299.639,299.639,-0.0170383,0.000136222,0,1,1,2.20976e-17,2.20976e-17,0,4.24314e-05,101325,101325,1
0.5,0.0766636,0.005,299.645,299.645,299.645,-0.0188824,0.000110945,0,1,1,7.6339e-16,7.6339e-16,0,4.82171e-05,101325,101325,1
