"Points:0","Points:1","Points:2","T","T.liquid","T.vapor","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.vapor","alphas","dgdt.liquid","dgdt.vapor","p","p_rgh","rho"
0.5,0.0516646,0.005,299.477,299.477,299.477,0.00249272,0.000226586,0,1,1,1.38915e-36,1.38915e-36,0,-1.00357e-05,101327,101327,1
0.5,0.0516646,0,299.477,299.477,299.477,0.00249272,0.000226586,0,1,1,1.38915e-36,1.38915e-36,0,-1.00357e-05,101327,101327,1
0.5,0.0533312,0.005,299.493,299.493,299.493,0.0015024,0.00022815,0,1,1,4.98739e-38,4.98739e-38,0,-7.46545e-06,101327,101327,1
0.5,0.0533312,0,299.493,299.493,299.493,0.0015024,0.00022815,0,1,1,4.98739e-38,4.98739e-38,0,-7.46545e-06,101327,101327,1
0.5,0.0549978,0.005,299.508,299.508,299.508,0.000443937,0.000228522,0,1,1,1.57299e-39,1.57299e-39,0,-4.67669e-06,101327,101327,1
0.5,0.0549978,0,299.508,299.508,299.508,0.000443937,0.000228522,0,1,1,1.57299e-39,1.57299e-39,0,-4.67669e-06,101327,101327,1
0.5,0.0566644,0.005,299.524,299.524,299.524,-0.000682801,0.00022763,0,1,1,4.39601e-41,4.39601e-41,0,-1.6732e-06,101327,101327,1
0.5,0.0566644,0,299.524,299.524,299.524,-0.000682801,0.00022763,0,1,1,4.39601e-41,4.39601e-41,0,-1.6732e-06,101327,101327,1
0.5,0.058331,0.005,299.54,299.54,299.54,-0.00187798,0.000225405,0,1,1,1.14346e-42,1.14346e-42,0,1.53758e-06,101327,101327,1
0.5,0.058331,0,299.54,299.54,299.54,-0.00187798,0.000225405,0,1,1,1.14346e-42,1.14346e-42,0,1.53758e-06,101327,101327,1
0.5,0.0599976,0.005,299.556,299.556,299.556,-0.00314178,0.000221776,0,1,1,6.09425e-42,6.09425e-42,0,4.94857e-06,101327,101327,1
0.5,0.0599976,0,299.556,299.556,299.556,-0.00314178,0.000221776,0,1,1,6.09425e-42,6.09425e-42,0,4.94857e-06,101327,101327,1
0.5,0.0616642,0.005,299.572,299.572,299.572,-0.00447442,0.000216674,0,1,1,1.94597e-39,1.94597e-39,0,8.55369e-06,101327,101327,1
0.5,0.0616642,0,299.572,299.572,299.572,-0.00447442,0.000216674,0,1,1,1.94597e-39,1.94597e-39,0,8.55369e-06,101327,101327,1
0.5,0.0633308,0.005,299.587,299.587,299.587,-0.00587611,0.000210032,0,1,1,2.39339e-37,2.39339e-37,0,1.23429e-05,101327,101327,1
0.5,0.0633308,0,299.587,299.587,299.587,-0.00587611,0.000210032,0,1,1,2.39339e-37,2.39339e-37,0,1.23429e-05,101327,101327,1
0.5,0.0649974,0.005,299.602,299.602,299.602,-0.00734714,0.000201784,0,1,1,5.44581e-36,5.44581e-36,0,1.63068e-05,101327,101327,1
0.5,0.0649974,0,299.602,299.602,299.602,-0.00734714,0.000201784,0,1,1,5.44581e-36,5.44581e-36,0,1.63068e-05,101327,101327,1
0.5,0.066664,0.005,299.617,299.617,299.617,-0.0088878,0.000191864,0,1,1,3.98415e-35,3.98415e-35,0,2.04337e-05,101327,101327,1
0.5,0.066664,0,299.617,299.617,299.617,-0.0088878,0.000191864,0,1,1,3.98415e-35,3.98415e-35,0,2.04337e-05,101327,101327,1
0.5,0.0683306,0.005,299.63,299.63,299.63,-0.0104984,0.000180211,0,1,1,1.07495e-34,1.07495e-34,0,2.47123e-05,101327,101327,1
0.5,0.0683306,0,299.63,299.63,299.63,-0.0104984,0.000180211,0,1,1,1.07495e-34,1.07495e-34,0,2.47123e-05,101327,101327,1
0.5,0.0699972,0.005,299.643,299.643,299.643,-0.0121794,0.000166764,0,1,1,1.12144e-34,1.12144e-34,0,2.91318e-05,101327,101327,1
0.5,0.0699972,0,299.643,299.643,299.643,-0.0121794,0.000166764,0,1,1,1.12144e-34,1.12144e-34,0,2.91318e-05,101327,101327,1
0.5,0.0716638,0.005,299.655,299.655,299.655,-0.0139312,0.000151463,0,1,1,4.79058e-35,4.79058e-35,0,3.36781e-05,101327,101327,1
0.5,0.0716638,0,299.655,299.655,299.655,-0.0139312,0.000151463,0,1,1,4.79058e-35,4.79058e-35,0,3.36781e-05,101327,101327,1
0.5,0.0733304,0.005,299.666,299.666,299.666,-0.0157542,0.000134254,0,1,1,9.61187e-36,9.61187e-36,0,3.83401e-05,101327,101327,1
0.5,0.0733304,0,299.666,299.666,299.666,-0.0157542,0.000134254,0,1,1,9.61187e-36,9.61187e-36,0,3.83401e-05,101327,101327,1
0.5,0.074997,0.005,299.675,299.675,299.675,-0.017649,0.000115086,0,1,1,1.07012e-36,1.07012e-36,0,4.3115e-05,101327,101327,1
0.5,0.074997,0,299.675,299.675,299.675,-0.017649,0.000115086,0,1,1,1.07012e-36,1.07012e-36,0,4.3115e-05,101327,101327,1
0.5,0.0766636,0.005,299.682,299.682,299.682,-0.0196161,9.3915e-05,0,1,1,1.47145e-29,1.47145e-29,0,4.80168e-05,101327,101327,1
0.5,0.0766636,0,299.682,299.682,299.682,-0.0196161,9.3915e-05,0,1,1,1.47145e-29,1.47145e-29,0,4.80168e-05,101327,101327,1
0.5,0.0783302,0.005,299.688,299.688,299.688,-0.0216562,7.06955e-05,0,1,1,3.75991e-28,3.75991e-28,0,5.30536e-05,101327,101327,1
0.5,0.0783302,0,299.688,299.688,299.688,-0.0216562,7.06955e-05,0,1,1,3.75991e-28,3.75991e-28,0,5.30536e-05,101327,101327,1
0.5,0.0799968,0.005,299.692,299.692,299.692,-0.0237699,4.53341e-05,0,1,1,3.61275e-28,3.61275e-28,0,2.78023e-05,101327,101327,1
0.5,0.0799968,0,299.692,299.692,299.692,-0.0237699,4.53341e-05,0,1,1,3.61275e-28,3.61275e-28,0,2.78023e-05,101327,101327,1
0.5,0.0816634,0.005,299.694,299.694,299.694,-0.0259114,1.78266e-05,0,0.98083,0.98083,0.0191697,0.0191697,0,3.28927e-05,101327,101327,0.994862
0.5,0.0816634,0,299.694,299.694,299.694,-0.0259114,1.78266e-05,0,0.98083,0.98083,0.0191697,0.0191697,0,3.28927e-05,101327,101327,0.994862
0.5,0.08333,0.005,299.694,299.694,299.694,-0.026923,-1.0944e-05,0,0.49658,0.49658,0.50342,0.50342,0,6.55978e-05,101327,101327,0.865061
0.5,0.08333,0,299.694,299.694,299.694,-0.026923,-1.0944e-05,0,0.49658,0.49658,0.50342,0.50342,0,6.55978e-05,101327,101327,0.865061
0.5,0.0849966,0.005,299.691,299.691,299.691,-0.0257026,-3.90246e-05,0,0.0157494,0.0157499,0.984251,0.984251,0,6.2685e-05,101327,101327,0.736181
0.5,0.0849966,0,299.691,299.691,299.691,-0.0257026,-3.90246e-05,0,0.0157494,0.0157499,0.984251,0.984251,0,6.2685e-05,101327,101327,0.736181
0.5,0.0866632,0.005,299.687,299.687,299.687,-0.0233811,-6.49786e-05,0,1.75546e-19,1.75761e-19,1,1,0,5.7296e-05,101327,101327,0.731969
0.5,0.0866632,0,299.687,299.687,299.687,-0.0233811,-6.49786e-05,0,1.75546e-19,1.75761e-19,1,1,0,5.7296e-05,101327,101327,0.731969
0.5,0.0883298,0.005,299.682,299.682,299.682,-0.0211168,-8.86651e-05,0,1.30832e-19,1.3099e-19,1,1,0,5.19353e-05,101327,101327,0.731983
0.5,0.0883298,0,299.682,299.682,299.682,-0.0211168,-8.86651e-05,0,1.30832e-19,1.3099e-19,1,1,0,5.19353e-05,101327,101327,0.731983
0.5,0.0899964,0.005,299.675,299.675,299.675,-0.0189465,-0.000110287,0,9.32654e-21,9.34059e-21,1,1,0,4.65983e-05,101327,101327,0.731999
0.5,0.0899964,0,299.675,299.675,299.675,-0.0189465,-0.000110287,0,9.32654e-21,9.34059e-21,1,1,0,4.65983e-05,101327,101327,0.731999
0.5,0.091663,0.005,299.667,299.667,299.667,-0.0168688,-0.000129909,0,1.47551e-21,1.4777e-21,1,1,0,4.14338e-05,101327,101327,0.732019
0.5,0.091663,0,299.667,299.667,299.667,-0.0168688,-0.000129909,0,1.47551e-21,1.4777e-21,1,1,0,4.14338e-05,101327,101327,0.732019
0.5,0.0933296,0.005,299.658,299.658,299.658,-0.0148826,-0.000147578,0,6.69907e-22,6.70813e-22,1,1,0,3.64436e-05,101327,101327,0.732042
0.5,0.0933296,0,299.658,299.658,299.658,-0.0148826,-0.000147578,0,6.69907e-22,6.70813e-22,1,1,0,3.64436e-05,101327,101327,0.732042
0.5,0.0949962,0.005,299.648,299.648,299.648,-0.0129865,-0.000163349,0,1.79083e-22,1.79267e-22,1,1,0,3.15847e-05,101327,101327,0.732066
0.5,0.0949962,0,299.648,299.648,299.648,-0.0129865,-0.000163349,0,1.79083e-22,1.79267e-22,1,1,0,3.15847e-05,101327,101327,0.732066
0.5,0.0966628,0.005,299.637,299.637,299.637,-0.0111794,-0.000177278,0,1.55562e-23,1.55667e-23,1,1,0,2.68725e-05,101327,101327,0.732093
0.5,0.0966628,0,299.637,299.637,299.637,-0.0111794,-0.000177278,0,1.55562e-23,1.55667e-23,1,1,0,2.68725e-05,101327,101327,0.732093
0.5,0.0983294,0.005,299.625,299.625,299.625,-0.00945994,-0.000189424,0,4.0726e-25,4.07432e-25,1,1,0,2.23186e-05,101327,101327,0.732122
0.5,0.0983294,0,299.625,299.625,299.625,-0.00945994,-0.000189424,0,4.0726e-25,4.07432e-25,1,1,0,2.23186e-05,101327,101327,0.732122
0.5,0.099996,0.005,299.612,299.612,299.612,-0.00782707,-0.000199848,0,9.01761e-27,9.02146e-27,1,1,0,1.79321e-05,101326,101327,0.732152
0.5,0.099996,0,299.612,299.612,299.612,-0.00782707,-0.000199848,0,9.01761e-27,9.02146e-27,1,1,0,1.79321e-05,101326,101327,0.732152
0.5,0.101663,0.005,299.6,299.6,299.6,-0.00627959,-0.000208612,0,7.3824e-29,7.38302e-29,1,1,0,1.37257e-05,101326,101327,0.732183
0.5,0.101663,0,299.6,299.6,299.6,-0.00627959,-0.000208612,0,7.3824e-29,7.38302e-29,1,1,0,1.37257e-05,101326,101327,0.732183
0.5,0.103329,0.005,299.587,299.587,299.587,-0.00481634,-0.000215778,0,9.57972e-32,9.5794e-32,1,1,0,9.71559e-06,101326,101327,0.732215
